N,frame,fps
100,1,1262.091
100,2,1241.377
100,3,1007.914
100,4,1356.207
100,5,1041.669
100,6,1284.498
100,7,1171.053
100,8,1335.527
100,9,1183.547
100,10,1250.708
100,11,1059.578
100,12,1130.096
100,13,1168.586
100,14,1293.986
100,15,1228.093
100,16,1336.6
100,17,1224.028
100,18,1372.992
100,19,1299.544
100,20,1132.018
100,21,1184.389
100,22,1087.27
100,23,1371.295
100,24,1271.25
100,25,1287.479
100,26,1334.991
100,27,1102.761
100,28,1245.093
100,29,991.1057
100,30,1256.848
100,31,902.9118
100,32,1215.979
100,33,1121.717
100,34,1308.743
100,35,1133.174
100,36,775.0659
100,37,1152.002
100,38,996.4471
100,39,1171.465
100,40,923.4553
100,41,1156.807
100,42,958.0118
100,43,937.5023
100,44,1086.205
100,45,1111.23
100,46,1172.704
100,47,1113.833
100,48,1119.076
100,49,1099.119
100,50,1077.066
100,51,1089.762
100,52,985.5294
100,53,957.1852
100,54,1088.336
100,55,960.2231
100,56,922.4316
100,57,980.5931
100,58,1044.94
100,59,817.7231
100,60,999.7396
400,1,188.1577
400,2,125.0708
400,3,137.0674
400,4,121.9186
400,5,145.7087
400,6,201.7539
400,7,231.6512
400,8,221.8312
400,9,191.7459
400,10,155.9575
400,11,169.6296
400,12,176.8496
400,13,201.3024
400,14,220.2603
400,15,203.0588
400,16,184.1291
400,17,172.4958
400,18,179.4335
400,19,162.984
400,20,145.9131
400,21,171.4384
400,22,193.5411
400,23,193.7778
400,24,182.3135
400,25,152.5617
400,26,170.298
400,27,187.8391
400,28,152.7858
400,29,159.1875
400,30,135.9809
400,31,157.0689
400,32,146.6849
400,33,134.3994
400,34,121.8472
400,35,137.22
400,36,114.9853
400,37,133.4884
400,38,120.3795
400,39,123.9436
400,40,90.60828
400,41,123.6305
400,42,135.7812
400,43,133.1253
400,44,107.3037
400,45,118.6923
400,46,105.1476
400,47,97.89491
400,48,97.41352
400,49,120.5845
400,50,116.5802
400,51,130.5765
400,52,105.3707
400,53,115.5923
400,54,97.00183
400,55,97.94675
400,56,79.88989
400,57,106.2249
400,58,80.30046
400,59,89.18305
400,60,113.248
700,1,68.63403
700,2,49.38762
700,3,46.02972
700,4,47.69534
700,5,57.71896
700,6,58.88208
700,7,66.43245
700,8,59.1847
700,9,55.73455
700,10,40.74899
700,11,29.59419
700,12,35.4313
700,13,39.18954
700,14,38.91188
700,15,37.506
700,16,39.52323
700,17,38.03146
