N,frame,fps
100,1,50
100,2,847.0687
100,3,1061.605
100,4,887.0291
100,5,1039.717
100,6,898.524
100,7,1139.772
100,8,1095.141
100,9,1117.949
100,10,1176.019
100,11,1178.1
100,12,1176.019
100,13,1073.591
100,14,1066.368
100,15,1090.119
100,16,1036.156
100,17,1072.899
100,18,1096.584
100,19,1082.32
100,20,986.6981
100,21,1044.612
100,22,1032.299
100,23,965.796
100,24,1041.995
100,25,662.0515
100,26,1081.265
100,27,753.1417
100,28,1044.612
100,29,970.5842
100,30,1028.154
100,31,834.5369
100,32,1061.944
100,33,1095.862
100,34,1055.545
100,35,1084.436
100,36,1078.811
100,37,939.3545
100,38,1028.789
100,39,1006.999
100,40,1063.301
100,41,941.2141
100,42,1011.898
100,43,823.3877
100,44,888.4498
100,45,744.3823
100,46,881.3912
100,47,874.4437
100,48,1148.82
100,49,790.155
100,50,1032.299
100,51,820.748
100,52,1002.752
100,53,945.2238
100,54,804.0911
100,55,922.9432
100,56,1095.862
100,57,808.7808
100,58,1045.925
100,59,703.9199
100,60,971.1506
400,1,90.09564
400,2,91.61343
400,3,89.73853
400,4,90.377
400,5,88.95421
400,6,89.73853
400,7,87.29758
400,8,80.28497
400,9,85.91834
400,10,92.00346
400,11,86.06053
400,12,83.61303
400,13,87.58245
400,14,77.96961
400,15,77.98241
400,16,89.38905
400,17,80.26173
400,18,88.4977
400,19,84.28214
400,20,87.56171
400,21,91.74982
400,22,87.29071
400,23,89.43709
400,24,74.79118
400,25,86.97363
400,26,87.79964
400,27,53.76194
400,28,82.15381
400,29,84.84075
400,30,82.54503
400,31,88.29578
400,32,89.36504
400,33,87.62627
400,34,78.59937
400,35,88.66746
400,36,85.52973
400,37,89.05656
400,38,85.4419
400,39,87.63549
400,40,85.70815
400,41,87.30675
400,42,85.73244
400,43,87.15584
400,44,86.29259
400,45,80.12261
400,46,85.15552
400,47,80.99224
400,48,83.79196
400,49,86.21213
400,50,87.97602
400,51,82.41217
400,52,84.19897
400,53,82.32043
400,54,85.99382
400,55,86.36201
400,56,85.66402
400,57,84.10535
400,58,83.94413
400,59,82.59624
400,60,73.11364
700,1,29.08012
700,2,28.75948
700,3,29.63055
700,4,29.17572
700,5,29.5275
700,6,29.23004
700,7,29.0969
700,8,29.34447
700,9,29.13919
700,10,28.85247
700,11,28.54953
700,12,28.96472
700,13,29.01497
700,14,28.9902
700,15,27.22132
700,16,28.79008
700,17,28.75848
700,18,28.82499
700,19,28.30671
700,20,28.22461
700,21,28.44607
700,22,28.74755
700,23,28.25456
700,24,28.84622
700,25,28.21791
700,26,28.44412
700,27,28.21599
700,28,28.07722
700,29,27.43291
700,30,27.35647
700,31,27.40625
700,32,28.12634
700,33,27.25967
700,34,26.86426
700,35,27.54894
700,36,27.55123
700,37,28.09571
700,38,28.27208
700,39,28.18612
700,40,27.71481
700,41,27.94496
700,42,27.96774
700,43,27.5141
700,44,28.40916
700,45,28.13251
700,46,27.98091
700,47,27.81696
700,48,27.80697
700,49,27.6989
700,50,27.79443
700,51,26.35331
700,52,28.00068
700,53,28.45507
700,54,27.34029
700,55,27.59486
700,56,27.44309
700,57,27.03338
700,58,27.85468
700,59,26.86426
700,60,27.51842
1000,1,14.38253
1000,2,14.53454
1000,3,14.50533
1000,4,14.36404
1000,5,14.17174
1000,6,14.25215
1000,7,14.32428
1000,8,14.23246
1000,9,14.02169
1000,10,14.19925
1000,11,14.21714
1000,12,14.28389
1000,13,14.13418
1000,14,14.27942
1000,15,14.29248
1000,16,13.51076
1000,17,13.45233
1000,18,14.06715
1000,19,13.95268
1000,20,14.14043
1000,21,14.09324
1000,22,13.68324
1000,23,13.97653
1000,24,14.06192
1000,25,14.21332
1000,26,13.75779
1000,27,14.10913
1000,28,13.91913
1000,29,13.86439
1000,30,14.04459
1000,31,13.99034
1000,32,13.9379
1000,33,14.0837
1000,34,13.21647
1000,35,13.77607
1000,36,13.82127
1000,37,13.9386
1000,38,13.94006
1000,39,13.72081
1000,40,13.67452
1000,41,13.78063
1000,42,13.5896
1000,43,13.67396
1000,44,13.82379
1000,45,13.69179
1000,46,13.65483
1000,47,13.51109
1000,48,13.45897
1000,49,13.38476
1000,50,13.60415
1000,51,13.43517
1000,52,13.50035
1000,53,10.83137
1000,54,13.02831
1000,55,13.2264
1000,56,13.11688
1000,57,13.42195
1000,58,13.53142
1000,59,11.34979
1000,60,12.47791
1300,1,8.136986
1300,2,8.673924
1300,3,8.506519
1300,4,8.413151
1300,5,8.566226
1300,6,8.496638
1300,7,8.452165
1300,8,8.470493
1300,9,8.344992
1300,10,8.456417
1300,11,8.379555
1300,12,8.358405
1300,13,8.473814
1300,14,8.400537
1300,15,8.352762
1300,16,8.442881
1300,17,7.459271
1300,18,8.448046
1300,19,8.172833
1300,20,8.180326
1300,21,8.343612
1300,22,8.26853
1300,23,8.317775
1300,24,8.33183
1300,25,8.174981
1300,26,8.236791
1300,27,8.120428
1300,28,8.146726
1300,29,8.083487
1300,30,8.015889
1300,31,7.961336
1300,32,8.028535
1300,33,7.97532
1300,34,8.057302
1300,35,8.062045
1300,36,8.034777
1300,37,8.00182
1300,38,7.95947
1300,39,8.078679
1300,40,7.934422
1300,41,7.999089
1300,42,7.922863
1300,43,7.917528
1300,44,7.904835
1300,45,7.602035
1300,46,7.792726
1300,47,7.635609
1300,48,7.756927
1300,49,7.816372
1300,50,7.858359
1300,51,7.734628
1300,52,7.829501
1300,53,7.651531
1300,54,7.835012
1300,55,7.643887
1300,56,7.63321
1300,57,7.851296
1300,58,7.793182
1300,59,7.747664
1300,60,7.60737
1600,1,5.624259
1600,2,5.715113
1600,3,5.675631
1600,4,5.633627
1600,5,5.68384
1600,6,5.617491
1600,7,5.493492
1600,8,5.641295
1600,9,5.553423
1600,10,5.626656
1600,11,5.632464
1600,12,5.592363
1600,13,5.612101
1600,14,5.578911
1600,15,5.571925
1600,16,5.5541
1600,17,5.565095
1600,18,5.471806
1600,19,5.475821
1600,20,5.552033
1600,21,5.479815
1600,22,5.481413
1600,23,5.392545
1600,24,5.432764
1600,25,5.413192
1600,26,5.415129
1600,27,5.29944
1600,28,5.283044
1600,29,5.288492
1600,30,5.294188
1600,31,5.219831
1600,32,5.285771
1600,33,5.266583
1600,34,5.299735
1600,35,5.233498
1600,36,5.23624
1600,37,5.217679
1600,38,5.182902
1600,39,5.150529
1600,40,5.209014
1600,41,5.167371
1600,42,5.068228
1600,43,5.117898
1600,44,5.008884
1600,45,5.05485
1600,46,4.98178
1600,47,5.023278
1600,48,4.951061
1600,49,4.969477
1600,50,4.971399
1600,51,4.972618
1600,52,4.93344
1600,53,4.933352
1600,54,4.971733
1600,55,4.965243
1600,56,4.951275
1600,57,5.041656
1600,58,4.896589
1600,59,5.005035
1600,60,4.520661
