N,frame,fps
100,1,1566.18
100,2,1770.284
100,3,1331.786
100,4,1784.522
100,5,168.4448
100,6,1691.984
100,7,1298.53
100,8,1945.139
100,9,1087.27
100,10,1232.642
100,11,1559.575
100,12,202.3919
100,13,197.2461
100,14,1532.995
100,15,202.9473
100,16,209.3165
100,17,1351.801
100,18,1544.377
100,19,1429.61
100,20,1581.812
100,21,1422.887
100,22,1594.697
100,23,213.5746
100,24,184.8244
100,25,1729.799
100,26,1201.058
100,27,1749.807
100,28,1066.709
100,29,1242.304
100,30,1043.629
100,31,1209.79
100,32,927.8319
100,33,1403.683
100,34,1540.089
100,35,1607.017
100,36,1452.699
100,37,1550.854
100,38,1596.227
100,39,1501.865
100,40,1386.145
100,41,1391.36
100,42,1472.625
100,43,1144.475
100,44,1320.164
100,45,1415.624
100,46,1204.1
100,47,1177.683
100,48,1424.105
100,49,1422.887
100,50,880.9246
100,51,1400.729
100,52,1320.688
100,53,1390.778
100,54,1242.304
100,55,1284.498
100,56,1528.77
100,57,1356.207
100,58,1012.206
100,59,1382.115
100,60,169.8374
400,1,157.0689
400,2,500.7724
400,3,427.0122
400,4,143.6894
400,5,488.3541
400,6,122.5245
400,7,448.1127
400,8,147.0153
400,9,377.1683
400,10,324.9178
400,11,404.8824
400,12,410.0706
400,13,432.2251
400,14,381.0112
400,15,387.3976
400,16,457.8529
400,17,153.2007
400,18,141.8098
400,19,139.7142
400,20,126.8005
400,21,140.9808
400,22,421.5495
400,23,419.002
400,24,386.1839
400,25,135.1581
400,26,417.6874
400,27,368.4416
400,28,133.4028
400,29,142.7036
400,30,141.9126
400,31,277.622
400,32,357.5562
400,33,128.4498
400,34,141.6588
400,35,254.9121
400,36,365.6084
400,37,120.1102
400,38,382.764
400,39,345.1346
400,40,138.7474
400,41,387.3976
400,42,131.8804
400,43,109.3558
400,44,387.0822
400,45,367.141
400,46,128.6583
400,47,274.8479
400,48,142.1429
400,49,360.2655
400,50,137.6912
400,51,338.9138
400,52,349.851
400,53,123.47
400,54,143.3922
400,55,119.6009
400,56,367.8308
400,57,326.6078
400,58,123.4516
400,59,256.6024
400,60,346.5001
700,1,118.9851
700,2,276.3312
700,3,118.7686
700,4,244.2487
700,5,238.7984
700,6,118.1656
700,7,110.5398
700,8,189.1307
700,9,263.3017
700,10,122.3803
700,11,252.5714
700,12,115.3399
700,13,248.8696
700,14,111.7236
700,15,218.3814
700,16,106.0624
700,17,223.6498
700,18,165.2253
700,19,210.0564
700,20,222.0532
700,21,111.7273
700,22,104.2779
700,23,215.1764
700,24,91.96278
700,25,101.6658
700,26,204.9469
700,27,186.0748
700,28,210.3484
700,29,190.4075
700,30,99.92892
700,31,195.6574
700,32,104.3073
700,33,103.2684
700,34,88.57778
700,35,166.1906
700,36,197.2812
700,37,98.15474
700,38,160.0064
700,39,97.01031
700,40,181.7559
700,41,97.26833
700,42,173.9473
700,43,185.95
700,44,96.79025
700,45,91.90437
700,46,89.45392
700,47,174.2204
700,48,95.60029
700,49,93.06599
700,50,94.07618
700,51,169.6815
700,52,81.66195
700,53,170.691
700,54,169.0437
700,55,170.1152
700,56,148.7567
700,57,141.6106
700,58,155.4548
700,59,87.40534
700,60,82.77702
