N,frame,fps
100,1,50
100,2,1101.299
100,3,1069.793
100,4,1142.116
100,5,990.5137
100,6,1192.877
100,7,1071.17
100,8,1118.698
100,9,1001.844
100,10,1050.545
100,11,1095.86
100,12,1041.341
100,13,1071.17
100,14,1120.204
100,15,1072.551
100,16,1143.686
100,17,1117.196
100,18,1087.978
100,19,1046.251
100,20,1029.742
100,21,1081.262
100,22,1034.543
100,23,1119.074
100,24,1054.539
100,25,1099.48
100,26,1060.926
100,27,1148.026
100,28,1016.222
100,29,1068.762
100,30,1073.935
100,31,985.2357
100,32,1046.251
100,33,1131.246
100,34,1096.943
100,35,1067.391
100,36,1027.516
100,37,1096.943
100,38,943.8814
100,39,1056.548
100,40,1058.901
100,41,1062.62
100,42,1138.599
100,43,1083.374
100,44,1103.856
100,45,1050.876
100,46,1016.843
100,47,1007.607
100,48,1029.742
100,49,1081.614
100,50,1029.423
100,51,1068.076
100,52,1046.91
100,53,1001.844
100,54,1078.11
100,55,1056.883
100,56,988.4544
100,57,1034.865
100,58,1002.146
100,59,1103.856
100,60,1085.141
400,1,89.87648
400,2,88.88988
400,3,91.41947
400,4,89.9834
400,5,90.84553
400,6,89.49462
400,7,81.02559
400,8,75.45231
400,9,83.26352
400,10,91.14658
400,11,87.62838
400,12,85.98698
400,13,88.58703
400,14,87.62838
400,15,89.02065
400,16,90.02234
400,17,85.32781
400,18,87.53619
400,19,86.76937
400,20,88.39644
400,21,88.41992
400,22,68.94813
400,23,86.96208
400,24,89.66098
400,25,85.50539
400,26,82.39159
400,27,80.77975
400,28,85.04871
400,29,85.34969
400,30,62.13131
400,31,83.47863
400,32,74.14454
400,33,85.45927
400,34,46.47052
400,35,86.08261
400,36,83.44724
400,37,84.85788
400,38,41.5787
400,39,85.71458
400,40,83.6633
400,41,85.88934
400,42,86.70834
400,43,84.57539
400,44,87.82957
400,45,83.70328
400,46,52.68273
400,47,84.67652
400,48,84.61839
400,49,84.53457
400,50,83.52053
400,51,83.21355
400,52,85.75214
400,53,86.06925
400,54,84.85139
400,55,86.34167
400,56,81.82441
400,57,84.66145
400,58,77.41088
400,59,80.37399
400,60,85.06174
700,1,29.44801
700,2,28.64185
700,3,28.51156
700,4,29.16237
700,5,29.11645
700,6,29.31882
700,7,28.97575
700,8,28.84966
700,9,27.44416
700,10,28.91332
700,11,28.74476
700,12,27.81737
700,13,28.35126
700,14,28.79973
700,15,28.29341
700,16,28.80597
700,17,28.02373
700,18,28.21211
700,19,28.80272
700,20,28.43118
700,21,28.45841
700,22,27.86022
700,23,28.08119
700,24,29.08515
700,25,28.62141
700,26,28.82343
700,27,28.29101
700,28,28.64925
700,29,28.30737
700,30,28.35222
700,31,28.50204
700,32,28.20709
700,33,28.2521
700,34,28.63298
700,35,28.53478
700,36,28.06201
700,37,27.64087
700,38,27.4625
700,39,27.42065
700,40,27.29695
700,41,27.19279
700,42,28.07906
700,43,28.19203
700,44,28.50326
700,45,28.55731
700,46,27.78208
700,47,28.20733
700,48,28.0684
700,49,27.70022
700,50,28.01123
700,51,26.78529
700,52,27.39221
700,53,27.95194
700,54,27.47747
700,55,27.41139
700,56,27.32272
