N,frame,fps
100,1,1582.561
100,2,1550.851
100,3,1535.822
100,4,1656.608
100,5,1126.651
100,6,1050.213
100,7,1531.581
100,8,1603.143
100,9,1074.282
100,10,1460.986
100,11,1607.79
100,12,1523.867
100,13,1037.446
100,14,1434.537
100,15,1034.865
100,16,1015.601
100,17,1632.234
100,18,1566.914
100,19,1590.122
100,20,1477.198
100,21,1623.476
100,22,1130.478
100,23,1178.932
100,24,1012.82
100,25,1462.912
100,26,1083.022
100,27,1510.724
100,28,1535.822
100,29,1142.116
100,30,1539.374
100,31,1144.473
100,32,1528.767
100,33,1556.654
100,34,1385.564
100,35,1079.509
100,36,998.8374
100,37,1460.986
100,38,1627.445
100,39,1435.775
100,40,1478.51
100,41,1507.986
100,42,1071.86
100,43,1321.209
100,44,1073.243
100,45,1015.911
100,46,1610.903
100,47,1617.951
100,48,1487.763
100,49,1458.425
100,50,1499.831
100,51,1015.601
100,52,1445.126
100,53,1305.147
100,54,1552.298
100,55,1541.513
100,56,1526.663
100,57,1497.807
100,58,1384.988
100,59,1475.887
100,60,1337.671
400,1,441.4546
400,2,488.2814
400,3,520.9966
400,4,340.787
400,5,488.9988
400,6,490.0789
400,7,455.7828
400,8,443.5136
400,9,424.7226
400,10,442.0996
400,11,422.351
400,12,482.1275
400,13,444.4612
400,14,462.0472
400,15,462.8826
400,16,454.2277
400,17,395.8756
400,18,414.9266
400,19,422.5119
400,20,366.9783
400,21,379.3601
400,22,369.0537
400,23,432.1119
400,24,417.6341
400,25,349.8135
400,26,356.1017
400,27,419.7939
400,28,370.2031
400,29,355.7591
400,30,360.8116
400,31,332.2809
400,32,328.2499
400,33,315.1635
400,34,393.3955
400,35,402.2877
400,36,395.7814
400,37,396.2998
400,38,335.1587
400,39,336.2083
400,40,297.1276
400,41,391.9593
400,42,376.3146
400,43,379.0576
400,44,336.1064
400,45,392.2827
400,46,314.9845
400,47,353.6421
400,48,281.5912
400,49,312.4414
400,50,312.9409
400,51,303.6611
400,52,307.5902
400,53,310.3727
400,54,297.739
400,55,298.2459
400,56,329.2892
400,57,294.0041
400,58,308.7029
400,59,350.5135
400,60,308.8175
700,1,231.3769
700,2,232.1193
700,3,239.5197
700,4,239.8649
700,5,233.8974
700,6,233.111
700,7,212.3342
700,8,221.0058
700,9,214.9952
700,10,223.6193
700,11,211.3633
700,12,211.5245
700,13,204.142
700,14,190.9862
700,15,208.0339
700,16,197.9496
700,17,207.1147
700,18,202.1579
700,19,204.2547
700,20,194.878
700,21,196.8257
700,22,197.6792
700,23,188.1254
700,24,187.9872
700,25,174.8241
700,26,174.9068
700,27,178.2702
700,28,187.6692
700,29,171.5175
700,30,181.7357
700,31,174.4118
700,32,169.4134
700,33,180.4254
700,34,165.8011
700,35,161.5438
700,36,151.1136
700,37,161.6458
700,38,151.7959
700,39,133.0558
700,40,139.2405
700,41,154.8614
700,42,140.6231
700,43,143.4661
700,44,134.5241
700,45,148.0747
700,46,140.3089
700,47,129.4588
700,48,141.1419
700,49,132.526
700,50,122.5197
700,51,121.7355
700,52,130.2236
700,53,127.0956
700,54,66.28677
700,55,120.2618
700,56,113.017
700,57,113.9964
700,58,118.7768
700,59,120.9304
700,60,136.2534
1000,1,157.9557
1000,2,163.4559
1000,3,155.1791
1000,4,167.3182
1000,5,154.3228
1000,6,154.7822
1000,7,153.568
1000,8,138.8281
1000,9,144.5691
1000,10,150.1659
1000,11,133.1091
1000,12,130.8895
1000,13,140.4391
1000,14,131.4633
1000,15,135.0043
1000,16,122.9089
1000,17,119.1382
1000,18,121.8469
1000,19,112.111
1000,20,107.8739
1000,21,118.0145
1000,22,109.1726
1000,23,113.3326
1000,24,109.7993
1000,25,112.2244
1000,26,97.03275
1000,27,114.6799
1000,28,101.9303
1000,29,101.9522
1000,30,108.5459
1000,31,104.1309
1000,32,94.32394
1000,33,94.48193
1000,34,106.0149
1000,35,105.8396
1000,36,95.53423
1000,37,91.97784
1000,38,92.10511
1000,39,95.95842
1000,40,86.5685
1000,41,82.95842
1000,42,98.72522
