N,frame,fps
100,1,50
100,2,1009.443
100,3,959.9461
100,4,999.1393
100,5,946.0298
100,6,864.6747
100,7,810.3562
100,8,890.1132
100,9,882.3259
100,10,171.4384
100,11,922.9432
100,12,901.2004
100,13,893.6984
100,14,961.6102
100,15,932.7727
100,16,977.7124
100,17,954.988
100,18,949.2678
100,19,979.7271
100,20,980.5931
100,21,915.8319
100,22,908.5812
100,23,991.1057
100,24,973.9927
100,25,889.1619
100,26,965.5158
100,27,941.2141
100,28,923.7117
100,29,949.5386
100,30,853.5863
100,31,848.1481
100,32,864.4501
100,33,861.541
100,34,917.3465
100,35,813.128
100,36,857.1035
100,37,906.6012
100,38,898.0391
100,39,799.0715
100,40,719.752
100,41,762.4589
100,42,745.7166
100,43,834.9556
100,44,761.064
100,45,820.748
100,46,804.2854
100,47,870.7831
100,48,805.2584
100,49,874.2141
100,50,736.3126
100,51,733.2304
100,52,775.4271
100,53,834.9556
100,54,786.4208
100,55,768.7995
100,56,854.9019
100,57,815.1195
100,58,858.873
100,59,472.2766
100,60,844.4894
400,1,392.2835
400,2,375.8479
400,3,461.1519
400,4,409.6164
400,5,355.4938
400,6,343.2834
400,7,344.4916
400,8,360.8514
400,9,374.4945
400,10,436.2476
400,11,355.4558
400,12,345.7801
400,13,354.5093
400,14,423.6422
400,15,352.9677
400,16,340.718
400,17,325.7765
400,18,339.7441
400,19,197.9853
400,20,313.295
400,21,313.7972
400,22,300.0751
400,23,353.305
400,24,319.859
400,25,323.2452
400,26,409.3141
400,27,258.4757
400,28,272.0396
400,29,262.9896
400,30,270.2943
400,31,284.2129
400,32,353.6053
400,33,291.4557
400,34,291.3792
400,35,312.6182
400,36,295.2305
400,37,301.2976
400,38,298.7552
400,39,293.3051
400,40,293.331
400,41,266.1229
400,42,266.1229
400,43,262.9688
400,44,256.0496
400,45,283.4142
400,46,253.1862
400,47,291.5068
400,48,281.7348
400,49,252.8592
400,50,371.8585
400,51,248.4052
400,52,258.9785
400,53,259.7263
400,54,245.909
400,55,265.5496
400,56,419.002
400,57,258.9181
400,58,209.567
400,59,246.8758
400,60,243.3913
700,1,221.3149
700,2,217.2127
700,3,206.7163
700,4,249.5226
700,5,257.7351
700,6,200.3813
700,7,230.6558
700,8,191.9892
700,9,245.0039
700,10,287.5525
700,11,194.5594
700,12,250.6313
700,13,201.9253
700,14,196.1417
700,15,258.7973
700,16,186.743
700,17,244.8417
700,18,274.1912
700,19,249.1864
700,20,193.7552
700,21,254.7366
700,22,250.5935
700,23,174.4945
700,24,172.2101
700,25,173.259
700,26,183.3177
700,27,248.3867
700,28,176.4745
700,29,184.3126
700,30,169.2587
700,31,243.1424
700,32,176.4371
700,33,166.5649
700,34,174.9163
700,35,151.575
700,36,164.8162
700,37,171.7214
700,38,161.5599
700,39,215.1068
700,40,139.6263
700,41,147.0933
700,42,219.0137
700,43,256.9789
700,44,155.317
700,45,147.6087
700,46,184.886
700,47,132.1527
700,48,137.203
700,49,133.1466
700,50,130.1272
700,51,191.283
700,52,128.3853
700,53,123.1456
700,54,132.0059
700,55,260.3358
700,56,129.8986
700,57,125.8464
700,58,121.3983
700,59,116.0356
700,60,128.3309
1000,1,142.0943
1000,2,140.8078
1000,3,138.7821
1000,4,197.7265
1000,5,134.8514
1000,6,142.5752
1000,7,126.7812
1000,8,140.8734
1000,9,204.8712
1000,10,138.8805
1000,11,174.0109
1000,12,177.4058
1000,13,131.8125
1000,14,190.5929
1000,15,196.1533
1000,16,194.2414
1000,17,126.6365
1000,18,122.102
1000,19,124.8362
1000,20,175.1557
1000,21,124.5745
1000,22,178.9415
1000,23,123.7914
1000,24,182.1439
1000,25,119.1982
1000,26,119.5407
1000,27,117.1754
1000,28,108.7981
1000,29,173.4035
1000,30,114.2864
1000,31,168.6582
1000,32,106.1436
1000,33,104.0757
1000,34,103.5125
1000,35,158.732
1000,36,170.6472
1000,37,95.978
1000,38,98.10844
1000,39,95.65525
1000,40,87.12846
1000,41,89.5526
1000,42,87.71171
1000,43,82.6311
1000,44,82.5307
1000,45,80.7466
1000,46,77.0758
1000,47,48.7089
1000,48,120.236
1000,49,56.4406
1000,50,70.2197
1000,51,59.7028
1000,52,60.60517
1000,53,60.2377
1000,54,61.06442
1000,55,59.99988
1000,56,60.64714
1000,57,57.08633
1000,58,60.82671
1000,59,134.8514
1000,60,43.87262
1300,1,110.2651
1300,2,165.1351
